reject,sentence_edit,sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
,,Church is not going to die.,0.7598721932,,church,,cornellmov.6.022811,cornellmov.0135432
,,Identifying Marks: Scar on left cheek.,0.760914949,,left,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02775506
,,Finn let out a low whistle.,0.764988682,low,finn,,torontofantasy.6.337230,torontofantasy.4427920
,,It left Flemmi feeling pretty special.,0.7634289457,,left,,torontomyst.6.177294,torontomyst.2253529
,,"Entrepreneurs are big picture, idea people.",0.7596017455,,idea,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03688705
,,Barry countered with a second denial.,0.7593592379,,denial,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03537020
,,"Atmosphere: Small BYO, upscale and unique.",0.7609412363,,unique,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02180556
,,He held out his left hand.,0.7590481013,,left,,torontofantasy.6.016845,torontofantasy.245620
,,"A Mark Cross overnight case, anyway.",0.7590674851,,mark,,cornellmov.6.023203,cornellmov.0137971
,,I understand what Don is saying.,0.7645333828,,don,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02442384
,,What's left you gentlemen can have.,0.7592802415,,left,,cornellmov.6.016191,cornellmov.0092748
,,"Thank you very much, Martin Lewis.",0.7606484227,,martin,,cocaspok2004.6.005185,cocaspok2004.0081692
,,Your parents came to my funeral.,0.764803487,,funeral,,cornellmov.6.016175,cornellmov.0092649
,,I bent over at the waist.,0.7652899664,,waist,,torontomyst.6.030685,torontomyst.437533
,,Wall corners make great storage additions.,0.7567410471,,storage,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04879010
,,What is another word for poor?,0.7644078488,,poor,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01612030
,,I put my hand back down.,0.7623838818,,"put,down",,torontomyst.6.013635,torontomyst.198892
,,The crew left their captain behind.,0.7632160278,,"crew,left",,cocaspok2009.6.004100,cocaspok2009.0049954
,,The insurance is up to date.,0.7579393303,,date,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00008640
,,They're nasty and full of crap.,0.7644739296,full,nasty,,cornellmov.6.031099,cornellmov.0188650
,Not too fat - not too thin.,Not too fat- not too thin.,0.7645381048,,thin,,cornellmov.6.035594,cornellmov.0217120
,,"Too warm for a sweater, anyway.",0.7579622576,,sweater,,cornellmov.6.009719,cornellmov.0055375
,,I studied her pale face anxiously.,0.7596189988,,pale,,torontoadv.6.008477,torontoadv.141320
,,"We need light in here, stat.",0.7589132514,,stat,,cornellmov.6.014122,cornellmov.0080378
,,"That said, he left the room.",0.7596403485,,left,,torontofantasy.6.226293,torontofantasy.3025950
,,Do it with a custom wallpaper.,0.7654788141,,wallpaper,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03295254
,,Church attendance numbers fluctuate by branch.,0.7598645414,,church,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04806807
,,Where would you put this nook?,0.7607063546,,put,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00665288
,,They stabbed her fifty three times!,0.7576049641,,stabbed,,cornellmov.6.025023,cornellmov.0149807
,,Yesterday we had a yard sale.,0.7653577218,,yesterday,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03651132
