reject,sentence,sentence_original,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index,has_edit
,Can anyone give me any tips?,Can anyone give me any tips?,0.7385985886,give,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02883519,False
,Nothing exciting but better than nothing!,Nothing exciting but better than nothing!,0.7369146976,better,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01138997,False
,Not a sound disturbed the night.,Not a sound disturbed the night.,0.7407492011,disturbed,,,torontoadv.6.047740,torontoadv.807327,False
,Or perhaps the distinction is blurred?,Or perhaps the distinction is blurred?,0.7411593968,perhaps,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01200954,False
,Or perhaps someone purposefully implanted it.,Or perhaps someone purposefully implanted it.,0.741945413,perhaps,,,torontofantasy.6.076876,torontofantasy.1138058,False
,Four of those are already sold.,Four of those are already sold.,0.7394647772,already,,,cocaspok2004.6.004555,cocaspok2004.0071190,False
,"And besides, it had been satisfying.","And besides, it had been satisfying.",0.7321036934,besides,,,torontomyst.6.089536,torontomyst.1204279,False
,No surprise perhaps to most people.,No surprise perhaps to most people.,0.736116189,perhaps,,,cocaspok2009.6.008519,cocaspok2009.0109651,False
,They'll be a very strong company.,Theyll be a very strong company.,0.7288281106,strong,,,cocaspok2001.6.002252,cocaspok2001.0039924,True
,They send frequent health messages also.,They send frequent health messages also.,0.7393742407,frequent,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03056467,False
,Broad or complex understanding of health.,Broad or complex understanding of health.,0.7397120983,broad,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03670792,False
,How much could one person endure?,How much could one person endure?,0.7349146023,endure,,,torontomyst.6.063829,torontomyst.887322,False
,"Reliable, secure and no paperwork needed!","Reliable, Secure and No Paperwork Needed!",0.7369494601,secure,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04388867,True
,But I had already designed it.,But I had already designed it.,0.7398504917,already,,,torontomyst.6.000589,torontomyst.10435,False
,You can still find that kind.,You can still find that kind.,0.7416413361,still,,,cocaspok1995.6.006264,cocaspok1995.077744,False
,I never felt so clean before.,I never felt so clean before.,0.7355091574,clean,,,cornellmov.6.004633,cornellmov.0026113,False
,You are too valuable to quit.,You are too valuable to quit.,0.7342621806,valuable,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02908180,False
,Perhaps if he'd let them retreat...,Perhaps if he'd let them retreat...,0.7373283589,perhaps,,,torontofantasy.6.164155,torontofantasy.2229945,False
,"I was still standing, still fighting.","I was still standing, still fighting.",0.7417934008,"still,still",,,torontofantasy.6.106244,torontofantasy.1532140,False
,Then you must make all speed.,Then you must make all speed.,0.7415911943,must,,,torontofantasy.6.483370,torontofantasy.6302254,False
,I can't get hold of him.,I can't get hold of him.,0.7418648204,hold,,,cornellmov.6.032957,cornellmov.0200356,False
,But they were still out there.,But they were still out there.,0.7389919817,still,,,torontofantasy.6.170161,torontofantasy.2304322,False
,"Better strategies, better plans, better projects.","Better strategies, better plans, better projects.",0.7392966396,"better,better,better",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01371165,False
,It is so simple to clean.,It is so simple to clean.,0.7302877295,clean,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00923544,False
,We are also strong community supporters.,We are also strong community supporters.,0.7372538373,strong,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01471259,False
,Patience was never her strong point.,Patience was never her strong point.,0.7382300735,strong,,,torontofantasy.6.429558,torontofantasy.5666045,False
,He was still lamenting its loss.,He was still lamenting its loss.,0.7423242444,still,,,torontoadv.6.006886,torontoadv.117276,False
,Perhaps it won't even be news.,Perhaps it won't even be news.,0.7405097965,perhaps,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03677227,False
,"Well, that must feel pretty good.","Well, that must feel pretty good.",0.741751708,must,,,cocaspok2002.6.000746,cocaspok2002.0013331,False
,You've had plenty of time already!,You've had plenty of time already!,0.7404960732,already,,,cornellmov.6.015356,cornellmov.0087672,False
,Almost time for him to leave.,Almost time for him to leave.,0.7401898315,"almost,leave",,,torontomyst.6.048761,torontomyst.682834,False
,He was determined to fulfill it.,He was determined to fulfill it.,0.7318817324,determined,,,torontofantasy.6.091278,torontofantasy.1344099,False
,There we rebuilt every single one.,There we rebuilt every single one.,0.73702474,every,,,torontofantasy.6.058039,torontofantasy.839967,False
,"Comprehension of short, easy personal letters.","Comprehension of short, easy personal letters.",0.7417723393,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01177478,False
,But they hold up remarkably well.,But they hold up remarkably well.,0.7331620514,hold,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02636848,False
,"Well, you can describe it accurately.","Well, you can describe it accurately.",0.7276352606,describe,,,cocaspok2007.6.003143,cocaspok2007.0038767,False
,Poppa's going to be here soon.,Poppa's going to be here soon.,0.7399997393,soon,,,torontomyst.6.090119,torontomyst.1212351,False
,Therefore to hold meetings by them.,Therefore to hold meetings by them.,0.7298490153,hold,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01201833,False
,Throwing the fan - what's the outcome??,Throwing the fan - what's the outcome??,0.7409723316,outcome,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03758919,False
,Let's give the events a recap.,Let's give the events a recap.,0.7415648552,give,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.01662155,False
,History is full of contrary evidence.,History is full of contrary evidence:,0.7361230943,full,,,wsj.6.001927,wsj.347894,True
,It only took a brief moment.,It only took a brief moment.,0.7341076792,brief,,,torontofantasy.6.033060,torontofantasy.479788,False
,"Statistically, we may be safe somewhat.","Statistically, we may be safe somewhat.",0.7239095784,somewhat,,,cocaspok1999.6.003229,cocaspok1999.0043756,False
,He was able to give directions.,He was able to give directions.,0.7298775112,give,,,torontomyst.6.001995,torontomyst.29208,False
,You must not fixate on them.,You must not fixate on them.,0.7328650698,must,,,torontofantasy.6.205639,torontofantasy.2783725,False
,But it wasn't easy for him.,But it wasn't easy for him.,0.734686133,easy,,,cocaspok2011.6.010241,cocaspok2011.0130760,False
,"A remarkable piece of writing, indeed!","A remarkable piece of writing, indeed!",0.7328544415,remarkable,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00614896,False
,Time for a brief time out.,Time for a brief time out.,0.7396737377,brief,,,cocaspok2004.6.004957,cocaspok2004.0077635,False
,Detailed conclusion recaps arguments and evidence.,Detailed conclusion recaps arguments and evidence.,0.7361932764,detailed,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04060091,False
,They have not been the problem.,They have not been the problem.,0.7336999449,problem,,,cocaspok1993.6.009132,cocaspok1993.0127932,False
,I just wanted to hurt him.,I just wanted to hurt him.,0.7392556903,hurt,,,torontomyst.6.063013,torontomyst.875853,False
,Focus on quality rather than quantity.,Focus on quality rather than quantity.,0.7270000244,focus,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00227621,False
,It makes the situation extremely dangerous.,It makes the situation extremely dangerous.,0.7391854389,extremely,,,cocaspok1993.6.006849,cocaspok1993.0087754,False
,Those should be up very soon.,Those should be up very soon.,0.7316450222,soon,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04815392,False
,I can't imagine life without them.,I can't imagine life without them.,0.7403887537,life,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04021718,False
,We are afraid of any engineering.,We are afraid of any engineering.,0.7296107469,afraid,,,cocaspok1998.6.009912,cocaspok1998.0132401,False
,We must give time for time.,We must give time for time.,0.7419621519,"must,give",,,cornellmov.6.015535,cornellmov.0088676,False
,It was very easy to manage.,It was very easy to manage.,0.7247370559,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04906722,False
,It's almost embarrassing to all concerned.,It's almost embarrassing to all concerned.,0.7413305969,"almost,concerned",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.00542606,False
,We've tried escalation four times already.,We've tried escalation four times already.,0.7408965289,already,,,cocaspok2007.6.001785,cocaspok2007.0022163,False
,Puppies are totally capable of learning.,Puppies are totally capable of learning.,0.7333670239,capable,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04266046,False
,Every part of it was delightful.,Every part of it was delightful.,0.7385273886,"every,delightful",,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01592383,False
,Because they have already earned enough.,Because they have already earned enough.,0.7418463887,already,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02171126,False
,He'll kill every one of them.,He'll kill every one of them.,0.732618131,every,,,torontofantasy.6.417246,torontofantasy.5472287,False
,Nothing you would find very remarkable.,Nothing you would find very remarkable.,0.7333083687,remarkable,,,torontofantasy.6.321986,torontofantasy.4221480,False
,We'd be forced to land anyway.,We'd be forced to land anyway.,0.7362109207,forced,,,torontomyst.6.124476,torontomyst.1633221,False
,We're still perfecting a viewing system.,We're - - still perfecting a viewing system.,0.7392964278,"still,viewing",,,cornellmov.6.033227,cornellmov.0201963,True
,Not to give you a message.,Not to give you a message.,0.731830782,give,,,torontofantasy.6.434406,torontofantasy.5724274,False
,You are quite sure it's secure?,You are quite sure it's secure?,0.734629398,secure,,,cornellmov.6.006865,cornellmov.0039444,False
,They want to give to society.,They want to give to society.,0.7398956445,give,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02833630,False
,They wanted a more exact match.,They wanted a more exact match.,0.7394680862,exact,,,torontomyst.6.123689,torontomyst.1623633,False
,And so every state is different.,And so every state is different.,0.74011228,every,,,cocaspok2011.6.001500,cocaspok2011.0018582,False
,But give it to me again.,But give it to me again.,0.7390408526,give,,,cornellmov.6.034138,cornellmov.0208051,False
,Their collaboration has been extremely successful.,Their collaboration has been extremely successful.,0.7211007689,extremely,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.04907159,False
,Others are afraid of losing them.,Others are afraid of losing them.,0.7213329948,afraid,,,cocaspok1992.6.005108,cocaspok1992.0066708,False
,And increasingly those pleasures were youthful.,And increasingly those pleasures were youthful.,0.7322589716,pleasures,,,cocaspok2004.6.007044,cocaspok2004.0106832,False
,I just couldn't leave without it.,I just couldn't leave without it.,0.7422691816,leave,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01369339,False
,It saddened me to leave it.,It saddened me to leave it.,0.7352642242,leave,,,torontoadv.6.055217,torontoadv.919964,False
,That would be disturbing to me.,That would be disturbing to me.,0.7273519681,disturbing,,,cocaspok1997.6.005653,cocaspok1997.0068200,False
,Maybe this'll make you feel better.,Maybe this'll make you feel better.,0.739408734,better,,,cornellmov.6.012024,cornellmov.0068349,False
,Can a bru53x replace a bru5g?,Can a bru53x replace a bru5g?,0.7417186011,replace,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01782355,False
,Event staff can provide referral information.,Event staff can provide referral information.,0.7358098341,event,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00052498,False
,"Actually, is very easy to make!","Actually, is very easy to make!",0.7314760335,easy,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00935467,False
,Do not have to be precise.,Do not have to be precise.,0.734897994,precise,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02968827,False
,Souls feel a lot of sorrow.,Souls feel a lot of sorrow.,0.7289032743,sorrow,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.00956678,False
,The text wasn't easy for me.,The text wasn't easy for me.,0.7417785005,easy,,,torontofantasy.6.241948,torontofantasy.3213130,False
