reject,sentence,sentence_original,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index,has_edit
,Church is not going to die.,Church is not going to die.,0.7598721932,,church,,cornellmov.6.022811,cornellmov.0135432,False
,Identifying Marks: Scar on left cheek.,Identifying Marks: Scar on left cheek.,0.760914949,,left,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02775506,False
,Finn let out a low whistle.,Finn let out a low whistle.,0.764988682,low,finn,,torontofantasy.6.337230,torontofantasy.4427920,False
,It left Flemmi feeling pretty special.,It left Flemmi feeling pretty special.,0.7634289457,,left,,torontomyst.6.177294,torontomyst.2253529,False
,"Entrepreneurs are big picture, idea people.","Entrepreneurs are big picture, idea people.",0.7596017455,,idea,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03688705,False
,Barry countered with a second denial.,Barry countered with a second denial.,0.7593592379,,denial,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03537020,False
,"Atmosphere: Small BYO, upscale and unique.","Atmosphere: Small BYO, upscale and unique.",0.7609412363,,unique,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02180556,False
,He held out his left hand.,He held out his left hand.,0.7590481013,,left,,torontofantasy.6.016845,torontofantasy.245620,False
,"A Mark Cross overnight case, anyway.","A Mark Cross overnight case, anyway.",0.7590674851,,mark,,cornellmov.6.023203,cornellmov.0137971,False
,I understand what Don is saying.,I understand what Don is saying.,0.7645333828,,don,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02442384,False
,What's left you gentlemen can have.,What's left you gentlemen can have.,0.7592802415,,left,,cornellmov.6.016191,cornellmov.0092748,False
,"Thank you very much, Martin Lewis.","Thank you very much, Martin Lewis.",0.7606484227,,martin,,cocaspok2004.6.005185,cocaspok2004.0081692,False
,Your parents came to my funeral.,Your parents came to my funeral.,0.764803487,,funeral,,cornellmov.6.016175,cornellmov.0092649,False
,I bent over at the waist.,I bent over at the waist.,0.7652899664,,waist,,torontomyst.6.030685,torontomyst.437533,False
,Wall corners make great storage additions.,Wall corners make great storage additions.,0.7567410471,,storage,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04879010,False
,What is another word for poor?,What is another word for poor?,0.7644078488,,poor,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01612030,False
,I put my hand back down.,I put my hand back down.,0.7623838818,,"put,down",,torontomyst.6.013635,torontomyst.198892,False
,The crew left their captain behind.,The crew left their captain behind.,0.7632160278,,"crew,left",,cocaspok2009.6.004100,cocaspok2009.0049954,False
,The insurance is up to date.,The insurance is up to date.,0.7579393303,,date,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.00008640,False
,They're nasty and full of crap.,They're nasty and full of crap.,0.7644739296,full,nasty,,cornellmov.6.031099,cornellmov.0188650,False
,Not too fat - not too thin.,Not too fat- not too thin.,0.7645381048,,thin,,cornellmov.6.035594,cornellmov.0217120,True
,"Too warm for a sweater, anyway.","Too warm for a sweater, anyway.",0.7579622576,,sweater,,cornellmov.6.009719,cornellmov.0055375,False
,I studied her pale face anxiously.,I studied her pale face anxiously.,0.7596189988,,pale,,torontoadv.6.008477,torontoadv.141320,False
,"We need light in here, stat.","We need light in here, stat.",0.7589132514,,stat,,cornellmov.6.014122,cornellmov.0080378,False
,"That said, he left the room.","That said, he left the room.",0.7596403485,,left,,torontofantasy.6.226293,torontofantasy.3025950,False
,Do it with a custom wallpaper.,Do it with a custom wallpaper.,0.7654788141,,wallpaper,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.03295254,False
,Church attendance numbers fluctuate by branch.,Church attendance numbers fluctuate by branch.,0.7598645414,,church,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04806807,False
,Where would you put this nook?,Where would you put this nook?,0.7607063546,,put,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00665288,False
,They stabbed her fifty three times!,They stabbed her fifty three times!,0.7576049641,,stabbed,,cornellmov.6.025023,cornellmov.0149807,False
,Yesterday we had a yard sale.,Yesterday we had a yard sale.,0.7653577218,,yesterday,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03651132,False
,"Cursing, Tucker skidded to a stop.","Cursing, Tucker skidded to a stop.",0.7592000709,,tucker,,torontomyst.6.134595,torontomyst.1743336,False
,We devoured it with local butter.,We devoured it with local butter.,0.7605063415,,butter,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.01133429,False
,"That was the whole idea, Padan.","That was the whole idea, Padan.",0.7631050786,,idea,,torontofantasy.6.417709,torontofantasy.5482821,False
,He saw me staring at it.,He saw me staring at it.,0.7609133845,,staring,,torontomyst.6.005506,torontomyst.77302,False
,"It was small, with brown hair.","It was small, with brown hair.",0.7616310141,,hair,,torontofantasy.6.026002,torontofantasy.387941,False
,"This was the royal dungeon, then.","This was the royal dungeon, then.",0.7645551915,,dungeon,,torontofantasy.6.196310,torontofantasy.2665954,False
,I send my condolences to Sandy.,I send my condolences to Sandy.,0.7618998507,,"condolences,sandy",,cocaspok2006.6.001506,cocaspok2006.0025294,False
,We don't care about the mark.,We don't care about the mark.,0.7598680325,,mark,,cornellmov.6.039251,cornellmov.0241407,False
,Then Willie pointed to our right.,Then Willie pointed to our right.,0.7600147558,,willie,,torontoadv.6.033747,torontoadv.577253,False
,The elevator shuddered and shot upward.,The elevator shuddered and shot upward.,0.7649589095,,upward,,torontofantasy.6.089215,torontofantasy.1319683,False
,While the hare's doing her hair.,While the hare's doing her hair.,0.759734344,,hair,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00957449,False
,TJones set IRC Nick to Trey314159.,TJones set IRC Nick to Trey314159.,0.7643430045,,nick,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.00643653,False
,"Interior storage under stairs ideas, stairs.","Interior storage under stairs ideas, stairs.",0.7638449626,,storage,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.01823163,False
,I want to look more mature.,I want to look more mature.,0.7655697946,,mature,,cocaspok2010.6.009041,cocaspok2010.0117951,False
,"Nate asked, his voice dangerously calm.","Nate asked, his voice dangerously calm.",0.7581472794,,nate,,torontofantasy.6.291543,torontofantasy.3805801,False
,"He commanded, his voice gone shrill.","He commanded, his voice gone shrill..",0.761965543,,shrill,,torontofantasy.6.461505,torontofantasy.6001770,True
,"You got yourself a computer, Alma.","You got yourself a computer, Alma.",0.7622514251,,alma,,cornellmov.6.000213,cornellmov.0001319,False
,"Be forward, I heard Finn say.","Be forward, I heard Finn say.",0.7564413959,,finn,,torontomyst.6.015853,torontomyst.226922,False
