sentence,condition,correct,sent_identifier,index,original_index,item_id,avg_dist_resnet50-early
Between the minotaur and Eden's Sage.,high,0.8421052631578947,torontofantasy.6.026436,high.01001,torontofantasy.393714,1001,0.0029736233
The best pubs near London Troxy.,high,0.8333333333333334,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.045699,high.01002,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01233759,1002,0.0022433084
Q: What is 147451 times Pi?,high,0.9215686274509804,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.082495,high.01003,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02201694,1003,0.0021675508
Marion dies September the next year.,high,0.9090909090909092,cornellmov.6.032556,high.01004,cornellmov.0197891,1004,0.00277035
"Calumet City, Illinois, ladies and gentlemen.",high,0.8611111111111112,cocaspok2001.6.004652,high.01005,cocaspok2001.0073759,1005,0.003367508
"Recently, Buddy Guy unplugged that cable.",high,0.7361111111111112,cocaspok2003.6.001832,high.01006,cocaspok2003.0034543,1006,0.0034844656
I love browned butter and asparagus.,high,0.9166666666666666,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.101891,high.01007,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02736224,1007,0.0024750317
This Colleen Sutton woman I'm with.,high,0.7142857142857143,cornellmov.6.031171,high.01008,cornellmov.0189182,1008,0.002446853
"Oh, look at this little guy.",high,0.7586206896551724,cocaspok2003.6.005883,high.01009,cocaspok2003.0090054,1009,0.0019808304
"Thank you, Jacqui Jeras, in Atlanta.",high,0.8392857142857143,cocaspok2005.6.002305,high.01010,cocaspok2005.0040445,1010,0.0024140584
What would your dear mother say?,high,0.8245614035087719,cornellmov.6.018287,high.01011,cornellmov.0105928,1011,0.002234295
Toy Story Land opens June 30th!,high,0.8961038961038961,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.017679,high.01012,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00482418,1012,0.0022694445
