,pilot3_identifier,sentence,sent_identifier,cond,cond_selection,sent_identifier_old_orig_pilot3.1,sent_cat,sent_cat_add,drop_bool,change_bool,mean_mem
0,pilot3sessM.0001,Taste that fowl and those fish.,torontoadv.6.010337,T,semantic,torontoadv.6.010337,com,,,,0.7673169768100164
1,pilot3sessM.0002,All sorts of treasure there too.,torontoadv.6.033663,T,semantic,torontoadv.6.033663,NAS,,,,0.7469940681399319
2,pilot3sessM.0003,The small flock of birds circled.,torontoadv.6.009430,T,semantic,torontoadv.6.009430,,,,,0.7620011053713215
3,pilot3sessM.0004,The music drums inside my head.,torontoadv.6.001052,T,semantic,torontoadv.6.001052,NAS,,,,0.7764777973511611
4,pilot3sessM.0005,They are very devoted and faithful.,torontoadv.6.028019,T,semantic,torontoadv.6.028019,,,,,0.7348597102385089
5,pilot3sessM.0006,What an amazing and wonderful metamorphosis.,torontoadv.6.006302,T,semantic,torontoadv.6.006302,NAS,,,,0.7789559912439808
6,pilot3sessM.0007,She began to worry about infection.,torontoadv.6.053492,T,semantic,torontoadv.6.053492,,,,,0.7531928934165156
7,pilot3sessM.0008,It has a light tangy flavor.,torontoadv.6.048659,T,semantic,torontoadv.6.048659,,,,,0.759091086196429
8,pilot3sessM.0009,We love rich tourists on vacation.,torontoadv.6.060510,T,semantic,torontoadv.6.060510,,,,,0.7663965604285404
9,pilot3sessM.0010,Across the street was a pub.,torontoadv.6.052482,T,semantic,torontoadv.6.052482,,,,,0.7582479099066218
10,pilot3sessM.0011,Would she put him in jail?,torontoadv.6.006424,T,semantic,torontoadv.6.006424,Q,,,,0.761687096875128
11,pilot3sessM.0012,Where are you keeping it safe?,torontoadv.6.003131,T,semantic,torontoadv.6.003131,Q,,,,0.7459635905958949
12,pilot3sessM.0013,"It was all ridiculous, crazy, insane.",torontoadv.6.044354,T,semantic,torontoadv.6.044354,,,,,0.7703534228903431
13,pilot3sessM.0014,"A childish notion, to be sure.",torontoadv.6.042489,T,semantic,torontoadv.6.042489,NAS,,,,0.7321124566367012
14,pilot3sessM.0015,Sophia was asleep on the sofa.,torontoadv.6.002508,T,semantic,torontoadv.6.002508,,,,,0.7755341091967121
15,pilot3sessM.0016,Her answer was difficult to grasp.,torontoadv.6.027866,T,semantic,torontoadv.6.027866,,,,,0.7210417000282892
16,pilot3sessM.0017,It meant waving a white flag.,torontoadv.6.027627,T,semantic,torontoadv.6.027627,,,,,0.7548893904567079
17,pilot3sessM.0018,The crowd burst into spontaneous applause.,torontoadv.6.003047,T,semantic,torontoadv.6.003047,,,,,0.7517309067892817
18,pilot3sessM.0019,His leg is too badly damaged.,torontoadv.6.000419,T,semantic,torontoadv.6.000419,,,,,0.7500716268905175
19,pilot3sessM.0020,He treated them like puppy dogs.,torontoadv.6.009295,T,semantic,torontoadv.6.009295,,,,,0.772317663634789
20,pilot3sessM.0021,It looked like a trash heap.,torontoadv.6.056258,T,semantic,torontoadv.6.056258,,,,,0.7637356738032164
21,pilot3sessM.0022,A car drove down the road.,torontoadv.6.022608,T,semantic,torontoadv.6.022608,,,,,0.7553655160851945
22,pilot3sessM.0023,People are getting hungry and desperate.,torontoadv.6.043481,T,semantic,torontoadv.6.043481,,,,,0.7455688075077448
23,pilot3sessM.0024,He held out a duffel bag.,torontoadv.6.061962,T,semantic,torontoadv.6.061962,,,,,0.7674701638458824
24,pilot3sessM.0025,The movie was entertaining and funny.,torontoadv.6.016471,T,semantic,torontoadv.6.016471,,,,,0.771985749408041
25,pilot3sessM.0026,Everyone finished eating every delicious bite.,torontoadv.6.048802,T,semantic,torontoadv.6.048802,,,,,0.7612070916614676
26,pilot3sessM.0027,He took another sip of beer.,torontoadv.6.031326,T,semantic,torontoadv.6.031326,,,,,0.7570837644681457
27,pilot3sessM.0028,The last time we'd had four.,torontoadv.6.056964,T,semantic,torontoadv.6.056964,,,,,0.7695110423222365
28,pilot3sessM.0029,Would she not regret this marriage?,torontoadv.6.002153,T,semantic,torontoadv.6.002153,Q,,,,0.7608397388108222
29,pilot3sessM.0030,Grace and kindness was their strength.,torontoadv.6.055307,T,semantic,torontoadv.6.055307,,,,,0.742730469933646
30,pilot3sessM.0031,He could smell the cooking meat.,torontoadv.6.004105,T,semantic,torontoadv.6.004105,,,,,0.7698371675348022
31,pilot3sessM.0032,In a way it seemed pointless.,torontoadv.6.019576,T,semantic,torontoadv.6.019576,,,,,0.7389102235233106
32,pilot3sessM.0033,Another dance is about to begin.,torontoadv.6.011883,T,semantic,torontoadv.6.011883,,,,,0.7597773774113965
33,pilot3sessM.0034,Like a voodoo priest or something?,torontoadv.6.034753,T,semantic,torontoadv.6.034753,NAS,Q,,,0.790099606989878
34,pilot3sessM.0035,Her dreams remain vague and inconclusive.,torontoadv.6.015548,T,semantic,torontoadv.6.015548,,,,,0.7441733771114086
35,pilot3sessM.0036,She seems awfully likable to me.,torontoadv.6.039210,T,semantic,torontoadv.6.039210,,,,,0.7392721583824843
36,pilot3sessM.0037,The experience had shaken him emotionally.,torontoadv.6.015317,T,semantic,torontoadv.6.015317,,,,,0.7292758884017724
37,pilot3sessM.0038,The bugs are eating me alive.,torontoadv.6.062489,T,semantic,torontoadv.6.062489,,,,,0.7647465207866267
38,pilot3sessM.0039,She looked up from her sewing.,torontoadv.6.024089,T,semantic,torontoadv.6.024089,,,,,0.7637720373290167
39,pilot3sessM.0040,This truly was a depressing place.,torontoadv.6.028087,T,semantic,torontoadv.6.028087,,,,,0.7400760536605154
40,pilot3sessM.0041,"There was no moon, only starlight.",torontoadv.6.018831,T,semantic,torontoadv.6.018831,,,,,0.7750852785746684
41,pilot3sessM.0042,He looked annoyed at being disturbed.,torontoadv.6.056193,T,semantic,torontoadv.6.056193,,,,,0.7422281198567452
42,pilot3sessM.0043,Could this all be a test?,torontoadv.6.015004,T,semantic,torontoadv.6.015004,Q,,,,0.7481504870081027
43,pilot3sessM.0044,They started hiking down the mountain.,torontoadv.6.015507,T,semantic,torontoadv.6.015507,,,,,0.7632158607247023
