sentence,condition,correct,sent_identifier,index,original_index,item_id
Nathan took her hand in his.,vigilance,0.915057915057915,torontofantasy.6.045612,filler.02501,torontofantasy.665350,2501
Estimates of Gazprom's value vary wildly.,filler,0.9413793103448276,wsj.6.000271,filler.02502,wsj.047982,2502
Interpublic didn't return calls seeking comment.,filler,0.9678571428571429,wsj.6.000168,filler.02503,wsj.030568,2503
"Take little Annie Hayes, for example.",filler,0.9578544061302682,torontomyst.6.172021,filler.02504,torontomyst.2188288,2504
At least you were never lonely.,vigilance,0.9090909090909091,cornellmov.6.001136,filler.02505,cornellmov.0006262,2505
May I ask when you marry?,filler,0.9494584837545126,cornellmov.6.016070,filler.02506,cornellmov.0092035,2506
The man was openly grinning now.,filler,0.953405017921147,torontofantasy.6.015803,filler.02507,torontofantasy.230265,2507
"Let me tell you something, Shelly.",filler,0.947565543071161,cornellmov.6.031493,filler.02508,cornellmov.0191248,2508
Had his consciousness ceased to exist?,filler,0.9588014981273408,torontomyst.6.170390,filler.02509,torontomyst.2166604,2509
This had to be General Kharzin.,filler,0.9182879377431906,torontomyst.6.138500,filler.02510,torontomyst.1797104,2510
Danktash describes himself a bit differently.,filler,0.935361216730038,cocaspok2003.6.001083,filler.02511,cocaspok2003.0020827,2511
"""But he could be"", Trenton insisted.",filler,0.959349593495935,torontofantasy.6.480744,filler.02512,torontofantasy.6263144,2512
And I've no time for this.,filler,0.9076923076923077,torontofantasy.6.255453,filler.02513,torontofantasy.3380762,2513
The building houses female residents only.,filler,0.9676258992805755,,filler.02514,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03113340,2514
He could have called Henry Lee.,filler,0.9598540145985401,cocaspok2004.6.004302,filler.02515,cocaspok2004.0067471,2515
His gaze swept around the area.,filler,0.8985507246376812,torontofantasy.6.436993,filler.02516,torontofantasy.5743684,2516
That way I saw more success.,filler,0.9421768707482994,torontomyst.6.015778,filler.02517,torontomyst.226093,2517
That's what this country stands for.,filler,0.9354838709677419,cocaspok2002.6.002081,filler.02518,cocaspok2002.0036643,2518
The judge awarded Beren a point.,filler,0.9676258992805755,torontoadv.6.025355,filler.02519,torontoadv.445521,2519
Why would that freak me out?,filler,0.9294117647058824,cornellmov.6.017315,filler.02520,cornellmov.0099761,2520
"No boss, it's all on you.",filler,0.9666666666666667,cornellmov.6.039757,filler.02521,cornellmov.0244590,2521
I am facing a shuttered window.,filler,0.9528985507246377,torontoadv.6.060014,filler.02522,torontoadv.997068,2522
"Chekov, I ordered Spock's quarters sealed!",vigilance,0.9744525547445255,cornellmov.6.024148,filler.02523,cornellmov.0144166,2523
"It's food, clothes, instruments of production.",filler,0.93359375,,filler.02524,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02473554,2524
It's not like you caused it.,vigilance,0.9401408450704225,torontofantasy.6.352438,filler.02525,torontofantasy.4631910,2525
Tonight's our prayers with her family.,filler,0.9157088122605364,cocaspok2011.6.007191,filler.02526,cocaspok2011.0091313,2526
He moved forward into the room.,filler,0.8928571428571429,torontomyst.6.083988,filler.02527,torontomyst.1130317,2527
Ida Sessions wants to see you.,filler,0.9553903345724907,cornellmov.6.007993,filler.02528,cornellmov.0045654,2528
My experience driving Uber is horrible.,filler,0.9603174603174603,,filler.02529,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01344918,2529
There was something odd here though.,filler,0.8905109489051095,torontoadv.6.054678,filler.02530,torontoadv.911737,2530
"First, planarians are not necessarily clonal.",filler,0.9568627450980393,,filler.02531,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01390140,2531
"Or rather, they were supposed to.",filler,0.8791208791208791,torontofantasy.6.264663,filler.02532,torontofantasy.3495504,2532
Dust jacket quality is not guaranteed.,filler,0.967391304347826,,filler.02533,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04180068,2533
Then you can make a diagnosis.,filler,0.9440298507462687,cocaspok1993.6.004183,filler.02534,cocaspok1993.0053063,2534
People want to buy a lifestyle.,filler,0.9563636363636364,,filler.02535,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01657011,2535
And with torches towards the east.,filler,0.9556313993174061,,filler.02536,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00072372,2536
Now you think they don't exist?,filler,0.8785714285714286,cornellmov.6.038520,filler.02537,cornellmov.0236298,2537
It has many benefits both healthwise.,filler,0.9295774647887324,cocaspok2000.6.002180,filler.02538,cocaspok2000.0037861,2538
And you've only got two customers.,filler,0.9379310344827586,torontomyst.6.119042,filler.02539,torontomyst.1572835,2539
"Don't worry, Long Feiye said coldly.",filler,0.953125,,filler.02540,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00775937,2540
Just wanted to... powder my nose.,filler,0.9713261648745519,cornellmov.6.003891,filler.02541,cornellmov.0021835,2541
Go quickly now for under floor.,filler,0.9416058394160584,torontofantasy.6.075132,filler.02542,torontofantasy.1110358,2542
I don't think he knows how.,vigilance,0.8759398496240601,cornellmov.6.000467,filler.02543,cornellmov.0002799,2543
Her absolute silence was clear enough.,filler,0.9448275862068966,torontofantasy.6.399516,filler.02544,torontofantasy.5227981,2544
