sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
Can anyone give me any tips?,0.7385985885905436,give,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02883519
Nothing exciting but better than nothing!,0.7369146975836491,better,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.01138997
Not a sound disturbed the night.,0.7407492010884572,disturbed,,,torontoadv.6.047740,torontoadv.807327
Or perhaps the distinction is blurred?,0.7411593968087115,perhaps,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.01200954
Or perhaps someone purposefully implanted it.,0.741945413010527,perhaps,,,torontofantasy.6.076876,torontofantasy.1138058
Four of those are already sold.,0.7394647771768748,already,,,cocaspok2004.6.004555,cocaspok2004.0071190
"And besides, it had been satisfying.",0.7321036934074107,besides,,,torontomyst.6.089536,torontomyst.1204279
No surprise perhaps to most people.,0.7361161889922995,perhaps,,,cocaspok2009.6.008519,cocaspok2009.0109651
Theyll be a very strong company.,0.7288281105505053,strong,,,cocaspok2001.6.002252,cocaspok2001.0039924
They send frequent health messages also.,0.7393742406894862,frequent,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.03056467
Broad or complex understanding of health.,0.7397120983339108,broad,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.03670792
How much could one person endure?,0.7349146023252385,endure,,,torontomyst.6.063829,torontomyst.887322
"Reliable, Secure and No Paperwork Needed!",0.7369494601127894,secure,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.04388867
But I had already designed it.,0.739850491698462,already,,,torontomyst.6.000589,torontomyst.10435
You can still find that kind.,0.7416413361014526,still,,,cocaspok1995.6.006264,cocaspok1995.077744
I never felt so clean before.,0.7355091574244659,clean,,,cornellmov.6.004633,cornellmov.0026113
You are too valuable to quit.,0.7342621805750472,valuable,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.02908180
Perhaps if he'd let them retreat...,0.7373283589052696,perhaps,,,torontofantasy.6.164155,torontofantasy.2229945
"I was still standing, still fighting.",0.7417934008025516,"still,still",,,torontofantasy.6.106244,torontofantasy.1532140
Then you must make all speed.,0.7415911943305517,must,,,torontofantasy.6.483370,torontofantasy.6302254
I can't get hold of him.,0.7418648204386195,hold,,,cornellmov.6.032957,cornellmov.0200356
