reject,sentence_edit,sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
,,Nathan took her hand in his.,0.7747930873,,,,torontofantasy.6.045612,torontofantasy.665350
,,Estimates of Gazprom's value vary wildly.,0.7342595839,,,,wsj.6.000271,wsj.047982
,,Interpublic didn't return calls seeking comment.,0.7808840243,,,,wsj.6.000168,wsj.030568
,,"Take little Annie Hayes, for example.",0.7801236269,,,,torontomyst.6.172021,torontomyst.2188288
,,At least you were never lonely.,0.7471987843,,,,cornellmov.6.001136,cornellmov.0006262
,,May I ask when you marry?,0.764953754,,,,cornellmov.6.016070,cornellmov.0092035
,,Instead he drank some more coffee.,0.7683113253,,,,torontomyst.6.005826,torontomyst.80864
,,The man was openly grinning now.,0.7587365752,,,,torontofantasy.6.015803,torontofantasy.230265
1,,His finger slid out of her.,0.7564094946,,,,torontofantasy.6.441107,torontofantasy.5780669
,,"Let me tell you something, Shelly.",0.7554486959,,,,cornellmov.6.031493,cornellmov.0191248
1,,These were invented by George J.,0.7839048316,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03646173
1,,The remaining appointments are effective Jan.,0.7602020398,,,,wsj.6.002796,wsj.508375
,,Had his consciousness ceased to exist?,0.7435442887,,,,torontomyst.6.170390,torontomyst.2166604
,,I'm proud of who I am.,0.7585151783,,,,cocaspok1998.6.002918,cocaspok1998.0039418
,,This had to be General Kharzin.,0.7485598713,,,,torontomyst.6.138500,torontomyst.1797104
,,Danktash describes himself a bit differently.,0.7384862177,,,,cocaspok2003.6.001083,cocaspok2003.0020827
,"""But he could be"", Trenton insisted.","But he could be,"" Trenton insisted.",0.7549415279,,,,torontofantasy.6.480744,torontofantasy.6263144
,,And I've no time for this.,0.7643555143,,,,torontofantasy.6.255453,torontofantasy.3380762
,,The building houses female residents only.,0.7557559725,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03113340
1,,"Shit, yes, pour the fuckin' beer.",0.8097169947,,,,cornellmov.6.017067,cornellmov.0098289
,,He could have called Henry Lee.,0.7734816057,,,,cocaspok2004.6.004302,cocaspok2004.0067471
,,His gaze swept around the area.,0.7531648476,,,,torontofantasy.6.436993,torontofantasy.5743684
,,That way I saw more success.,0.7458754283,,,,torontomyst.6.015778,torontomyst.226093
,,That's what this country stands for.,0.7690495778,,,,cocaspok2002.6.002081,cocaspok2002.0036643
,,The judge awarded Beren a point.,0.763348276,,,,torontoadv.6.025355,torontoadv.445521
,,Why would that freak me out?,0.7669400721,,,,cornellmov.6.017315,cornellmov.0099761
,,"No boss, it's all on you.",0.7605745331,,,,cornellmov.6.039757,cornellmov.0244590
,,I am facing a shuttered window.,0.7491904142,,,,torontoadv.6.060014,torontoadv.997068
,,"Chekov, I ordered Spock's quarters sealed!",0.7750471901,,,,cornellmov.6.024148,cornellmov.0144166
,,"It's food, clothes, instruments of production.",0.7722256255,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02473554
,,Yet Gray knew what held him.,0.7598710401,,,,torontomyst.6.129875,torontomyst.1691622
,,It's not like you caused it.,0.7569807044,,,,torontofantasy.6.352438,torontofantasy.4631910
,,Tonight's our prayers with her family.,0.7524315726,,,,cocaspok2011.6.007191,cocaspok2011.0091313
,,He moved forward into the room.,0.7510865025,,,,torontomyst.6.083988,torontomyst.1130317
,,Ida Sessions wants to see you.,0.7606513743,,,,cornellmov.6.007993,cornellmov.0045654
,,My experience driving Uber is horrible.,0.7629708486,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01344918
,,There was something odd here though.,0.7459746501,,,,torontoadv.6.054678,torontoadv.911737
,,"First, planarians are not necessarily clonal.",0.7569695182,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01390140
,,"Or rather, they were supposed to.",0.7271780572,,,,torontofantasy.6.264663,torontofantasy.3495504
,,Dust jacket quality is not guaranteed.,0.7466057465,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04180068
,,Then you can make a diagnosis.,0.7466706009,,,,cocaspok1993.6.004183,cocaspok1993.0053063
,,People want to buy a lifestyle.,0.7600445014,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01657011
,,And with torches towards the east.,0.7541262105,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00072372
,,Now you think they don't exist?,0.7618724982,,,,cornellmov.6.038520,cornellmov.0236298
,,Is there anything you can do?,0.7507975625,,,,cocaspok1999.6.010578,cocaspok1999.0139345
,,It has many benefits both healthwise.,0.7642142058,,,,cocaspok2000.6.002180,cocaspok2000.0037861
