sentence,condition,correct,sent_identifier,index,original_index,item_id,avg_dist_sbert
Between the minotaur and Eden's Sage.,high,0.8421052631578947,torontofantasy.6.026436,high.01001,torontofantasy.393714,1001,0.6568139375240893
The best pubs near London Troxy.,high,0.8333333333333334,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.6.045699,high.01002,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01233759,1002,0.688714481151598
Q: What is 147451 times Pi?,high,0.9215686274509804,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.082495,high.01003,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02201694,1003,0.7121558230311897
Marion dies September the next year.,high,0.9090909090909092,cornellmov.6.032556,high.01004,cornellmov.0197891,1004,0.778409704149969
"Calumet City, Illinois, ladies and gentlemen.",high,0.8611111111111112,cocaspok2001.6.004652,high.01005,cocaspok2001.0073759,1005,0.7991019968668436
"Recently, Buddy Guy unplugged that cable.",high,0.7361111111111112,cocaspok2003.6.001832,high.01006,cocaspok2003.0034543,1006,0.7028850150674214
I love browned butter and asparagus.,high,0.9166666666666666,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.101891,high.01007,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02736224,1007,0.7658218962126941
This Colleen Sutton woman I'm with.,high,0.7142857142857143,cornellmov.6.031171,high.01008,cornellmov.0189182,1008,0.6811213284702479
"Oh, look at this little guy.",high,0.7586206896551724,cocaspok2003.6.005883,high.01009,cocaspok2003.0090054,1009,0.6858613590619368
"Thank you, Jacqui Jeras, in Atlanta.",high,0.8392857142857143,cocaspok2005.6.002305,high.01010,cocaspok2005.0040445,1010,0.7208399188665816
What would your dear mother say?,high,0.8245614035087719,cornellmov.6.018287,high.01011,cornellmov.0105928,1011,0.6843854376893452
Toy Story Land opens June 30th!,high,0.8961038961038961,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.017679,high.01012,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00482418,1012,0.751578637686204
And her dear great grandchild Jameson.,high,0.7916666666666666,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.6.027545,high.01013,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00754084,1013,0.6787322169828929
"In Baghdad, Mike Tobin, Fox News.",high,0.8518518518518519,cocaspok2005.6.001232,high.01014,cocaspok2005.0022928,1014,0.7408322507454809
Rest in Peace my dear friend.,high,0.896551724137931,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.6.043073,high.01015,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.01151183,1015,0.6837576753617437
Chloe swiveled around in her chair..,high,0.8840579710144928,torontofantasy.6.341363,high.01016,torontofantasy.4495876,1016,0.7893240944143295
Was Christ born on Christmas Day?,high,0.9411764705882352,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.6.106169,high.01017,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02872021,1017,0.7688641474490961
Amazing cute dorm room decor ideas.,high,0.8225806451612904,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.6.063879,high.01018,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01732024,1018,0.6846070066573747
Download Texas Holdem poker for free.,high,0.9107142857142856,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.6.181260,high.01019,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04868213,1019,0.8368596907895077
Using images from 2 Cute Ink!,high,0.8552631578947368,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.6.064123,high.01020,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01738757,1020,0.6709842909460125
