sentence,vigilance_hr,target_hr,fpr,acc,max_mem,mean_mem
"""He didn't come home,"" Diego said.",,0.7142857142857143,0.06666666666666667,0.8275862068965517,0.84582476992339,0.7928057145805999
"""It'll give you nightmares,"" he advised.",,0.5789473684210527,0.023809523809523808,0.7875,0.7785231355968827,0.7398992251664879
"""Smart,"" he says with a smile.",,0.52,0.0,0.7735849056603774,0.8257434348640852,0.7591083699684265
"""We were extremely worried,"" Tovan responded.",,0.6060606060606061,0.02631578947368421,0.8028169014084507,0.7324613047645498,0.7200658958651529
"""Where are we going?"" said Victor.",,0.6086956521739131,0.13793103448275862,0.75,0.7866457971343643,0.760427636197459
A complimentary continental breakfast is included.,,0.76,0.03571428571428571,0.8679245283018868,0.8070436338789468,0.763756438974687
A couple of really quick questions.,,0.64,0.11538461538461539,0.7647058823529411,0.7602818676537205,0.7326211437731659
A crystal vial sat on it.,,0.6363636363636364,0.0,0.8260869565217391,0.7960892553182312,0.7651111700909375
A danger that was nearly tangible.,,0.28,0.04,0.62,0.7477569718324959,0.7288863094441203
A festive reception concluded the afternoon.,,0.4,0.0,0.7142857142857143,0.7684136749004484,0.7387777426273535
A heavy and generously proportioned object.,,0.42424242424242425,0.05128205128205128,0.7083333333333334,0.7500438342167177,0.7280964021643258
A helicopter swooped into view ahead.,,0.6666666666666666,0.06896551724137931,0.8035714285714286,0.7961741393878635,0.7636421414327977
A mist rose from his lips.,,0.825,0.09090909090909091,0.8690476190476191,0.8414672096543312,0.7869470079614755
A real Hong Kong night club.,,0.8055555555555556,0.022727272727272728,0.9,0.8368297298756797,0.7950303450211296
"A remarkable piece of writing, indeed!",,0.75,0.11538461538461539,0.82,0.749099668468689,0.7328544415322821
A scream spilled from Kylie's lips.,,0.65625,0.1111111111111111,0.7794117647058824,0.8259678914645824,0.7852964289908557
"A single mind, a single focus.",,0.5,0.02564102564102564,0.7402597402597403,0.7612459229410834,0.7394759456045698
"A small, dimly glowing ball appeared.",,0.6333333333333333,0.0,0.828125,0.7916844101146178,0.7423637798143451
