reject,sentence,sentence_original,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index,has_edit
,Nathan took her hand in his.,Nathan took her hand in his.,0.7747930873,,,,torontofantasy.6.045612,torontofantasy.665350,False
,Estimates of Gazprom's value vary wildly.,Estimates of Gazprom's value vary wildly.,0.7342595839,,,,wsj.6.000271,wsj.047982,False
,Interpublic didn't return calls seeking comment.,Interpublic didn't return calls seeking comment.,0.7808840243,,,,wsj.6.000168,wsj.030568,False
,"Take little Annie Hayes, for example.","Take little Annie Hayes, for example.",0.7801236269,,,,torontomyst.6.172021,torontomyst.2188288,False
,At least you were never lonely.,At least you were never lonely.,0.7471987843,,,,cornellmov.6.001136,cornellmov.0006262,False
,May I ask when you marry?,May I ask when you marry?,0.764953754,,,,cornellmov.6.016070,cornellmov.0092035,False
,Instead he drank some more coffee.,Instead he drank some more coffee.,0.7683113253,,,,torontomyst.6.005826,torontomyst.80864,False
,The man was openly grinning now.,The man was openly grinning now.,0.7587365752,,,,torontofantasy.6.015803,torontofantasy.230265,False
,"Let me tell you something, Shelly.","Let me tell you something, Shelly.",0.7554486959,,,,cornellmov.6.031493,cornellmov.0191248,False
,Had his consciousness ceased to exist?,Had his consciousness ceased to exist?,0.7435442887,,,,torontomyst.6.170390,torontomyst.2166604,False
,I'm proud of who I am.,I'm proud of who I am.,0.7585151783,,,,cocaspok1998.6.002918,cocaspok1998.0039418,False
,This had to be General Kharzin.,This had to be General Kharzin.,0.7485598713,,,,torontomyst.6.138500,torontomyst.1797104,False
,Danktash describes himself a bit differently.,Danktash describes himself a bit differently.,0.7384862177,,,,cocaspok2003.6.001083,cocaspok2003.0020827,False
,"""But he could be"", Trenton insisted.","But he could be,"" Trenton insisted.",0.7549415279,,,,torontofantasy.6.480744,torontofantasy.6263144,True
,And I've no time for this.,And I've no time for this.,0.7643555143,,,,torontofantasy.6.255453,torontofantasy.3380762,False
,The building houses female residents only.,The building houses female residents only.,0.7557559725,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.03113340,False
,He could have called Henry Lee.,He could have called Henry Lee.,0.7734816057,,,,cocaspok2004.6.004302,cocaspok2004.0067471,False
,His gaze swept around the area.,His gaze swept around the area.,0.7531648476,,,,torontofantasy.6.436993,torontofantasy.5743684,False
,That way I saw more success.,That way I saw more success.,0.7458754283,,,,torontomyst.6.015778,torontomyst.226093,False
,That's what this country stands for.,That's what this country stands for.,0.7690495778,,,,cocaspok2002.6.002081,cocaspok2002.0036643,False
,The judge awarded Beren a point.,The judge awarded Beren a point.,0.763348276,,,,torontoadv.6.025355,torontoadv.445521,False
,Why would that freak me out?,Why would that freak me out?,0.7669400721,,,,cornellmov.6.017315,cornellmov.0099761,False
,"No boss, it's all on you.","No boss, it's all on you.",0.7605745331,,,,cornellmov.6.039757,cornellmov.0244590,False
,I am facing a shuttered window.,I am facing a shuttered window.,0.7491904142,,,,torontoadv.6.060014,torontoadv.997068,False
,"Chekov, I ordered Spock's quarters sealed!","Chekov, I ordered Spock's quarters sealed!",0.7750471901,,,,cornellmov.6.024148,cornellmov.0144166,False
,"It's food, clothes, instruments of production.","It's food, clothes, instruments of production.",0.7722256255,,,,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02473554,False
,Yet Gray knew what held him.,Yet Gray knew what held him.,0.7598710401,,,,torontomyst.6.129875,torontomyst.1691622,False
