sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
Between the minotaur and Eden's Sage.,0.7866412526753751,,,sage,torontofantasy.6.026436,torontofantasy.393714
The best pubs near London Troxy.,0.7902516394480665,,,london,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01233759
The law firm of Brian D.,0.7807385106664672,,,brian,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04112562
"Saturday, June 02, 2018 - 11:00 a.m.",0.858297522928487,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00493748
Q: What is 147451 times Pi?,0.7979231702987464,,,pi,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02201694
Marion dies September the next year.,0.8073866332068939,,,september,cornellmov.6.032556,cornellmov.0197891
"Calumet City, Illinois, ladies and gentlemen.",0.797997208090675,,,illinois,cocaspok2001.6.004652,cocaspok2001.0073759
"Recently, Buddy Guy unplugged that cable.",0.7884810452627339,,,guy,cocaspok2003.6.001832,cocaspok2003.0034543
I love browned butter and asparagus.,0.789680765678299,,butter,asparagus,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02736224
This Colleen Sutton woman I'm with.,0.7918217840471612,,,colleen,cornellmov.6.031171,cornellmov.0189182
"Oh, look at this little guy.",0.7940511633302311,,,guy,cocaspok2003.6.005883,cocaspok2003.0090054
"Thank you, Jacqui Jeras, in Atlanta.",0.803648542752749,,,atlanta,cocaspok2005.6.002305,cocaspok2005.0040445
What would your dear mother say?,0.786953592029415,,,dear,cornellmov.6.018287,cornellmov.0105928
Toy Story Land Opens June 30th!,0.8112833885512346,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00482418
And her dear Great Grandchild Jameson.,0.7881380159783421,,,"dear,jameson",,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00754084
"In Baghdad, Mike Tobin, FOX News.",0.8150682893906035,,,baghdad,cocaspok2005.6.001232,cocaspok2005.0022928
Rest in Peace my dear friend.,0.7919750048079278,,,dear,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.01151183
Chloe swiveled around in her chair..,0.7974600486112179,,,chloe,torontofantasy.6.341363,torontofantasy.4495876
Was Christ Born on Christmas Day?,0.7805883922094594,,,christ,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02872021
Amazing Cute Dorm Room Decor Ideas.,0.7830051084347561,amazing,,cute,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01732024
Download Texas Holdem Poker for Free.,0.7971165310154488,free,,texas,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04868213
Using images from 2 Cute Ink!,0.799041598774774,,ink,cute,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01738757
Apartments in Akron during the 1950's.,0.7961849059669163,,,akron,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02817755
Giveaway closes July 1st at noon!,0.8078092131517381,,,noon,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00178337
Al Qaeda tested SAMs in Afghanistan.,0.8120660796202129,,,afghanistan,cocaspok2003.6.004568,cocaspok2003.0072657
"That's at noon Eastern, 9:00 a.m.",0.8033679964727954,,,noon,cocaspok2000.6.002390,cocaspok2000.0040888
Shaklee is based in San Francisco.,0.7960975449740851,,,francisco,wsj.6.002642,wsj.479067
He was arrested before September 11.,0.7861119414427535,,,september,cocaspok2001.6.007412,cocaspok2001.0112589
"Created June 10, 2015, 10:06 p.m.",0.8433394988092654,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02810442
Andrea and Kenny want titanium hammers.,0.7929076028579484,,,titanium,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03199946
I suggest over at 809 Bourbon.,0.7897854308824798,,,bourbon,torontofantasy.6.231779,torontofantasy.3091666
My son was outside playing soccer.,0.786335593696322,,,son,cornellmov.6.026715,cornellmov.0160875
System ford 07 unlabeled ranger heart.,0.8070286524495596,,,ford,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02641510
Dr. Barbara Bascom traveled with us.,0.8001008258665282,,,"barbara,us",cocaspok1990.6.000402,cocaspok1990.0006484
"Finally, Abby frowned at her husband.",0.7816810346150923,,,abby,torontomyst.6.161859,torontomyst.2089227
"I'm Jonathan Freed in Taylorville, Illinois.",0.8084713154905495,,jonathan,illinois,cocaspok2006.6.003616,cocaspok2006.0060198
"John Martin, ABC News, Chattanooga, Tennessee.",0.8251260964542352,,martin,tennessee,cocaspok1990.6.002078,cocaspok1990.0035359
There's cute little napkins and steak.,0.8021852319368064,,,cute,torontofantasy.6.408955,torontofantasy.5355018
The Duke raised his eyebrows questioningly.,0.7819049347619029,raised,,eyebrows,torontofantasy.6.075920,torontofantasy.1123410
"What do you say, Brian, huh?",0.7984311831590988,,,brian,cornellmov.6.016550,cornellmov.0094903
I mean look at this sweetie.,0.7885978781243393,,,sweetie,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02473182
"Promo runs until June 15, 2018.",0.833371550588431,runs,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04069552
"Keith is calling from Midland, Texas.",0.8001453850541118,,,texas,cocaspok1996.6.000049,cocaspok1996.0000823
"September 5, 1946 Berry Lulu A.",0.8281517134996167,,,september,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02615536
"The Amish boy saw him, Paul.",0.784232384433956,,,amish,cornellmov.6.040795,cornellmov.0251667
My cousin's shaggy eyebrows crept up.,0.7918546008142892,,,eyebrows,torontofantasy.6.344974,torontofantasy.4536477
"June 2013 Volume 36, No. 3.",0.824771083131127,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.04617211
Gail McBride is new Century's principal.,0.7872455199378917,,,gail,cocaspok1996.6.006791,cocaspok1996.0084587
Even from his wife and son.,0.7866646383648379,,,son,torontomyst.6.141544,torontomyst.1834782
"Dear Sandeep, Where is the question?",0.7840451541406015,,,dear,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.02539330
"She's at again, that naughty Madonna.",0.8021603760907218,,,madonna,cocaspok2012.6.005347,cocaspok2012.066033
"In Germany, a Kleider machen Leute.",0.8286839641622445,,,germany,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.03689879
Habitat Harper Ohio Skateboard Deck 8.,0.8004219185085019,,,ohio,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.04781439
"He didn't come home,"" Diego said.",0.7928057145805999,,,diego,torontofantasy.6.358579,torontofantasy.4704225
Looking for Fatty Acid Distillation Plants?,0.7832669983591987,,,fatty,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02519976
What's so important in San Francisco?,0.779561622958505,,important,francisco,cornellmov.6.024948,cornellmov.0149302
"I mean, check back at noon.",0.78178778931344,,,noon,cocaspok2000.6.007569,cocaspok2000.0119493
"Kendra, Seth, and Dale sat nearby.",0.8018988817697307,,,"seth,dale",torontofantasy.6.322064,torontofantasy.4222171
Where did that other guy go?,0.7813653996377101,,,guy,torontomyst.6.019522,torontomyst.275477
"September 22, 1950 Hunt Mary E.",0.8467570491600379,,,september,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.04770979
One child died Friday in Denver.,0.7981638962463787,,,denver,wsj.6.000742,wsj.135979
Swine Flu Strikes Cats and Ferrets!,0.819642841851912,,,flu,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00794177
"I'm Jen, from The Home Depot.",0.8008607744896293,,,depot,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00480-of-01024.json.gz.00810475
So I'm Testosterone and Superman both.,0.783809546710982,,,superman,cocaspok1997.6.002326,cocaspok1997.0028110
Vermont is really into maple syrup.,0.8078034726290678,,,maple,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.01222593
Matt Gormley at CMU and Prof.,0.8096828519843959,,,"matt,prof",,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02661785
Matt arrived in Waterford on time.,0.7804906928769954,,,matt,torontoadv.6.016825,torontoadv.297667
Barbara indicated the gleaming silver pots.,0.7824334345733241,,,barbara,torontofantasy.6.341650,torontofantasy.4499192
"Herbed chevre, pomodoro sauce, basil toast.",0.8489700406637991,,,basil,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.04832500
