reject,sentence_edit,sentence,mean_mem,low_mem_words,mid_mem_words,high_mem_words,index,original_index
,,Between the minotaur and Eden's Sage.,0.7866412527,,,sage,torontofantasy.6.026436,torontofantasy.393714
,,The best pubs near London Troxy.,0.7902516394,,,london,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00242-of-01024.json.gz.01233759
1,,The law firm of Brian D.,0.7807385107,,,brian,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.04112562
1,,"Saturday, June 02, 2018 - 11:00 a.m.",0.8582975229,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.00493748
,,Q: What is 147451 times Pi?,0.7979231703,,,pi,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.02201694
,,Marion dies September the next year.,0.8073866332,,,september,cornellmov.6.032556,cornellmov.0197891
,,"Calumet City, Illinois, ladies and gentlemen.",0.7979972081,,,illinois,cocaspok2001.6.004652,cocaspok2001.0073759
,,"Recently, Buddy Guy unplugged that cable.",0.7884810453,,,guy,cocaspok2003.6.001832,cocaspok2003.0034543
,,I love browned butter and asparagus.,0.7896807657,,butter,asparagus,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02736224
,,This Colleen Sutton woman I'm with.,0.791821784,,,colleen,cornellmov.6.031171,cornellmov.0189182
,,"Oh, look at this little guy.",0.7940511633,,,guy,cocaspok2003.6.005883,cocaspok2003.0090054
,,"Thank you, Jacqui Jeras, in Atlanta.",0.8036485428,,,atlanta,cocaspok2005.6.002305,cocaspok2005.0040445
,,What would your dear mother say?,0.786953592,,,dear,cornellmov.6.018287,cornellmov.0105928
,Toy Story Land opens June 30th!,Toy Story Land Opens June 30th!,0.8112833886,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.00482418
,And her dear great grandchild Jameson.,And her dear Great Grandchild Jameson.,0.788138016,,,"dear,jameson",,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00514-of-01024.json.gz.00754084
,"In Baghdad, Mike Tobin, Fox News.","In Baghdad, Mike Tobin, FOX News.",0.8150682894,,,baghdad,cocaspok2005.6.001232,cocaspok2005.0022928
,,Rest in Peace my dear friend.,0.7919750048,,,dear,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00961-of-01024.json.gz.01151183
,,Chloe swiveled around in her chair..,0.7974600486,,,chloe,torontofantasy.6.341363,torontofantasy.4495876
,Was Christ born on Christmas Day?,Was Christ Born on Christmas Day?,0.7805883922,,,christ,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02872021
,Amazing cute dorm room decor ideas.,Amazing Cute Dorm Room Decor Ideas.,0.7830051084,amazing,,cute,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.01732024
,Download Texas Holdem poker for free.,Download Texas Holdem Poker for Free.,0.797116531,free,,texas,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04868213
,,Using images from 2 Cute Ink!,0.7990415988,,ink,cute,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00491-of-01024.json.gz.01738757
,,Apartments in Akron during the 1950's.,0.796184906,,,akron,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00196-of-01024.json.gz.02817755
,,Giveaway closes July 1st at noon!,0.8078092132,,,noon,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.00178337
1,,Al Qaeda tested SAMs in Afghanistan.,0.8120660796,,,afghanistan,cocaspok2003.6.004568,cocaspok2003.0072657
1,,"That's at noon Eastern, 9:00 a.m.",0.8033679965,,,noon,cocaspok2000.6.002390,cocaspok2000.0040888
,,Shaklee is based in San Francisco.,0.796097545,,,francisco,wsj.6.002642,wsj.479067
,,He was arrested before September 11.,0.7861119414,,,september,cocaspok2001.6.007412,cocaspok2001.0112589
1,,"Created June 10, 2015, 10:06 p.m.",0.8433394988,,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00368-of-01024.json.gz.02810442
,,Andrea and Kenny want titanium hammers.,0.7929076029,,,titanium,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.03199946
,,I suggest over at 809 Bourbon.,0.7897854309,,,bourbon,torontofantasy.6.231779,torontofantasy.3091666
,,My son was outside playing soccer.,0.7863355937,,,son,cornellmov.6.026715,cornellmov.0160875
,,System ford 07 unlabeled ranger heart.,0.8070286524,,,ford,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.02641510
,,Dr. Barbara Bascom traveled with us.,0.8001008259,,,"barbara,us",cocaspok1990.6.000402,cocaspok1990.0006484
,,"Finally, Abby frowned at her husband.",0.7816810346,,,abby,torontomyst.6.161859,torontomyst.2089227
,,"I'm Jonathan Freed in Taylorville, Illinois.",0.8084713155,,jonathan,illinois,cocaspok2006.6.003616,cocaspok2006.0060198
1,,"John Martin, ABC News, Chattanooga, Tennessee.",0.8251260965,,martin,tennessee,cocaspok1990.6.002078,cocaspok1990.0035359
,,There's cute little napkins and steak.,0.8021852319,,,cute,torontofantasy.6.408955,torontofantasy.5355018
,,The Duke raised his eyebrows questioningly.,0.7819049348,raised,,eyebrows,torontofantasy.6.075920,torontofantasy.1123410
,,"What do you say, Brian, huh?",0.7984311832,,,brian,cornellmov.6.016550,cornellmov.0094903
,,I mean look at this sweetie.,0.7885978781,,,sweetie,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00727-of-01024.json.gz.02473182
,,"Promo runs until June 15, 2018.",0.8333715506,runs,,june,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00470-of-01024.json.gz.04069552
,,"Keith is calling from Midland, Texas.",0.8001453851,,,texas,cocaspok1996.6.000049,cocaspok1996.0000823
1,,"September 5, 1946 Berry Lulu A.",0.8281517135,,,september,,c4_-om2-data-public-allenai-c4-c4-en-c4-train.00918-of-01024.json.gz.02615536
,,"The Amish boy saw him, Paul.",0.7842323844,,,amish,cornellmov.6.040795,cornellmov.0251667
